"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,2195,2137.5,2252,2200,2197,2262.5,2147.5,2100,1995,2045,2072.5,2185,2185,2050,2200,2097.5,2195,2125,2122.5,2200,2260,2275
"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",12,,,,,,,,,,,,,,1699.5,1775,1785,1795,1772.5,1825,1895,1950,1825,1795,1850,1775,1820,1795,1899,1850,1850,1850,1895,1900,1895,1895,1895,1850,1800,1800,1800,1850,1895,1895,1850,1800,1895,1895,1800,1825,1825,1850,1875,1895,1997.5,2000,1995,1995,1995,1900,1925,1950,1977.5,1950,2025,1962.5,1995,1995,1998,2095,2050,1900,1995,2000,2150,1995,2059,2095,2100,2200,2150,2107,2100,2100,2100,2100,2150,2295,2200,2200,2272,2200,2200,2272.5,2300,2224.5
"Seattle","WA","Seattle-Tacoma-Bellevue","King County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3197,2850,2625,2650,2547.5,2850,2997.5,3200,3400,3350,3450,3400,3490,3395,3000,3100
"Boston","MA","Boston-Cambridge-Newton","Suffolk County",14,,,,,,,,,,,,,3900,3657.5,3800,3900,3900,3900,3800,3800,3900,3887.5,3887.5,4000,4200,4000,3900,3900,3900,3900,3900,3750,3800,3900,3975,4100,4200,4165,4195,4199,4000,3950,3850,3825,3900,4000,3995,4200,4400,4275,4200,4000,4000,3900,3825,3837.5,3800,3700,4000,4200,4500,4500,4395,4200,4200,4000,4000,4000,4000,3999,3900,4300,4500,4500,4500,4400,4400,4300,4295,4250,4200,4100,4475,4800,4800,4800,4600,4500,4500,4400,4385,4300,4200,4200,4500
"Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1750,1662.5,1600,1799,1687.5,1495,1500,1650,1880,1622.5,1500,1700,1847.5,1795,1700,1725,2000,2150,1900,1900,1985
"Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,2272.5,2104,2104,1995,2197.5,2037.5,2187.5,2365,2275,2200,2200,2100,1747.5,1975
"Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,912.5,975,1045,995,1025,1000,997.5,1025,950,995,925,895,950,985,1000,995,1050,960,932.5,925,950,950
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095,2100,2122.5,2300,2300,2272.5,2100,1995,2200,2022.5,2300,2197.5,2200,2195,2200,2200,2300,2325,2400,2200,2300,2250
"Colorado Springs","CO","Colorado Springs","El Paso County",19,,,,,,,,1547.5,1582.5,1595,1595,1547.5,1547.5,1500,1700,1950,1775,1675,1625,1650,1647.5,1650,1600,1600,1650,1650,1695,1795,1795,1650,1600,1650,1695,1625,1600,1650,1625,1650,1650,1700,1795,1850,1872.5,1885,1795,1737.5,1737.5,1700,1750,1750,1798,1950,1950,1897.5,1850,1895,1895,1875,1850,1795,1800,1825,1825,1850,1950,1900,1995,1950,1750,1825,1850,1950,1950,2000,2000,2100,2200,2150,2042.5,1995,2000,1950,1912.5,1897.5,2000,2170,2195,2195,2150,2162.5,2195,2150,2050,2050,1950
"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",20,,,,,,,,,,,,,,,,,2397.5,2200,2225,2100,2200,2050,2050,2200,2197.5,2100,2022.5,2200,2275,2395,2250,2100,1992.5,2050,2295,2100,1925,2000,2000,2225,2300,2300,2297.5,2147.5,2300,2247.5,2200,2200,2295,2100,2100,2395,2395,2295,2100,2072.5,2095,2097.5,2100,2100,2200,2200,2472.5,2400,2337.5,2250,2395,2372.5,2300,2297.5,2095,2100,2250,2200,2275,2195,2550,2400,2462.5,2337.5,2367.5,2295,2200,2297.5,2200,2297.5,2300,2400,2400,2462.5,2495,2400,2300,2395,2397.5
"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197.5,3047.5,2995,2950,2800,2785,2850,2900,3000,2799,2950,2875,2649,2900
"Honolulu","HI","Urban Honolulu","Honolulu County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2590,2400,2400,2545,2500,2500,2600,2700,2597.5,2495,2437.5,2462.5,2500,2550,2750,2500,2500,2500,2475,2250,2300,2450
"Cleveland","OH","Cleveland-Elyria","Cuyahoga County",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,800,800,775,850,900,825,825,800,725,795,722.5,725,795,850,850,875,824.5,875,875,922.5,950
"Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2325,2425,2300,2350,2495,2175,2172.5,2495,2370,2395,2500,2500,2500,2262.5,2422.5,2500,2600,2885,2500,2497.5,2497.5,2500
